Nr.,Best.-Nr.   ,RoHS-konform?,Ihre Bestellnummer,Hinweise,Menge,Hersteller-Teilenr.,Herstellername,Hersteller / Beschreibung,Verfügbarkeit,Stückpreis (&euro;),Positionspreis (&euro;),Rabattpreis (&euro;)
1,3765485,RoHS: YES / PHTHALATE: YES,,,6.0,"PS2562L1-1-A",RENESAS,"RENESAS  Optokoppler, 1 Kanal, DIP, Oberflächenmontage, 4 Pin(s), 80 mA, 5 kV, 200 %",671,0.9710,5.83,,
2,8767068,RoHS: YES / PHTHALATE: YES,,,5.0,"ECA1AAM331X",PANASONIC,"PANASONIC  Elektrolytkondensator, 330 µF, 10 V, ± 20%, Radial bedrahtet, 2000 Stunden bei 85°C, Polarisiert",1905,0.1130,0.57,,
3,1459143,RoHS: Y-EX / PHTHALATE: YES,,,5.0,"MUR2100EG",ONSEMI,"ONSEMI  Diode mit kurzer/ultrakurzer Erholzeit, 1 kV, 2 A, Einfach, 2.2 V, 75 ns, 35 A",6522,0.4570,2.29,,
4,3406865,RoHS: YES / PHTHALATE: YES,,,10.0,"RTD14730",SCHRACK - TE CONNECTIVITY,"SCHRACK - TE CONNECTIVITY  Leistungsrelais, SPDT, 230 VAC, 16 A, RT1, Durchsteckmontage, Monostabil",532,6.5700,65.70,,
5,3705262,RoHS: YES / PHTHALATE: YES,,,40.0,"1755736",PHOENIX CONTACT,"PHOENIX CONTACT  STIFTLEISTE, VERT 5.08MM 2POL.",3030,0.9610,38.44,,
6,3705389,RoHS: Y-EX / PHTHALATE: YES,,,2.0,"1757048",PHOENIX CONTACT,"PHOENIX CONTACT  Steckbare Reihenklemme, 5.08 mm, 5 -polig, 24 AWG, 12 AWG, 2.5 mm², Schraubanschluss",1234,5.7600,11.52,,
7,3705201,RoHS: YES / PHTHALATE: YES,,,2.0,"1757271",PHOENIX CONTACT,"PHOENIX CONTACT  Reihenklemme, abgewinkelt, Stiftleiste, 5.08 mm, 5 -polig, 12 A, 250 V",1065,1.8900,3.78,,
8,1581137,RoHS: YES / PHTHALATE: YES,,,5.0,"MCL053MD",MULTICOMP PRO,"MULTICOMP PRO  LED, Rot, Durchsteckmontage, T-1 3/4 (5mm), 20 mA, 2 V, 625 nm",34709,0.1260,0.63,,
9,3772379,RoHS: YES / PHTHALATE: YES,,,10.0,"FG18X5R1E106MRT00",TDK,"TDK  Keramikvielschichtkondensator, 10 µF, 25 V, ± 20%, PC-Pin, X5R, 2.5 mm",489,0.2650,2.65,,
10,3289391,RoHS: YES / PHTHALATE: YES,,,10.0,"K104Z15Y5VE5TH5",VISHAY,"VISHAY  Keramikvielschichtkondensator, 0.1 µF, 25 V, -20%, +80%, Radial bedrahtet, Y5V, 5 mm",294 Verfügbar, bis der Lagerbestand erschöpft ist.,0.1060,1.06,,
